Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ
73,0.24,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.31,0.00,0.31,10.00,0.00,10.00
74,0.24,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.31,0.00,0.31
74,0.24,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.32,0.00,0.32,10.00,0.00,10.00
75,0.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.32,0.00,0.32
75,0.25,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.32,0.00,0.32,10.00,0.00,10.00
76,0.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.32,0.00,0.32
76,0.25,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.32,0.00,0.32,10.00,0.00,10.00
77,0.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.32,0.00,0.32
77,0.25,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.33,0.00,0.33,10.00,0.00,10.00
78,0.25,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.33,0.00,0.33
78,0.25,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.33,0.00,0.33,10.00,0.00,10.00
79,0.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.33,0.00,0.33
79,0.26,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.34,0.00,0.34,10.00,0.00,10.00
80,0.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.34,0.00,0.34
80,0.26,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.34,0.00,0.34,10.00,0.00,10.00
81,0.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.34,0.00,0.34
81,0.26,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.34,0.00,0.34,10.00,0.00,10.00
82,0.26,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.34,0.00,0.34
82,0.26,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.35,0.00,0.35,10.00,0.00,10.00
83,0.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.35,0.00,0.35
83,0.27,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.35,0.00,0.35,10.00,0.00,10.00
84,0.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.35,0.00,0.35
84,0.27,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.35,0.00,0.35,10.00,0.00,10.00
85,0.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.35,0.00,0.35
85,0.27,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.36,0.00,0.36,10.00,0.00,10.00
86,0.27,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.36,0.00,0.36
